From,To,Type,Through,start_x,start_y,stop_x,stop_y,adjacency_rule_name,Comment
xbfd678,xe26fc0,sea,-1,2816,1085,2824,1083,,bys lowae--> kimbhado
x012136,x6D80F3,special,-1,2191,1658,1495,3612,,shipshatter-->midwest zaloron skies
x012136,x571135,special,-1,2191,1658,1501,3613,,shipshatter-->southwest zalaron skies
x6D80F3,x571135,special,-1,1496,3613,1500,3613,,midwest-->southwest zalaron skies
xf18fb8,x0fc192,special,-1,557,3610,796,2010,,birdie bay skies-->birdie bay
xe887c1,x012136,special,-1,1487,3613,2191,1658,,shoulderskies-->shipshatter
xe887c1,xa3aa59,special,-1,1487,3613,1480,3613,,shoulderskies-->ravenwatch skies
xa3aa59,x6D80F3,special,-1,1480,3613,1496,3613,,ravenwatch skies-->midwest zalaron
x9423b7,xa3aa59,special,-1,1472,3613,1480,3613,,west ravik skies-->ravenwatch skies
xd6ee06,x012136,special,-1,1457,3613,2268,1680,,khaduran skies-->shipshatter
x1d9e44,x012136,special,-1,1460,3613,2268,1680,,diyanikhadd basin skies-->shipshatter
x1d9e44,xd6ee06,special,-1,1460,3613,1457,3613,,diyanikhadd basin skies-->khaduran skies
x1d9e44,xc47498,special,-1,1460,3613,1464,3613,,diyanikhadd basin skies-->tsiidiiyah heights
x48f613,xc47498,special,-1,1468,3613,1464,3613,,skravend skies-->tsiidiiyah heights
x48f613,x5b310e,special,-1,1468,3613,1445,3613,,skravend skies-->petal heights
xc0db5e,x5b310e,special,-1,1448,3613,1445,3613,,citrus winds!!giffonlanding!!-->petal heights
x98d567,x5b310e,special,-1,1440,3613,1445,3613,,cloudless skies-->petal heights
x98d567,x5b310e,special,-1,1440,3613,1445,3613,,cloudless skies-->petal heights
x98d567,x524ba5,special,-1,1440,3613,1436,3613,,cloudless skies-->barren skies
x2a2ee7,x524ba5,special,-1,1432,3613,1436,3613,,goldenpass skies-->barren skies
x2a2ee7,x1d9e44,special,-1,1432,3613,1460,3613,,goldenpass skies-->diyanikhadd basin skies
xe887c1,x961802,special,-1,1487,3613,1427,3613,,shoulderskies-->klingel heights
x9423b7,x961802,special,-1,1472,3613,1427,3613,,west ravik skies-->klingel heights
x0ed40a,x961802,special,-1,1421,3613,1427,3613,,north lake skies-->klingel heights
x0ed40a,x81b455,special,-1,1421,3613,1393,3613,,north lake skies-->misty heights
x088515,x81b455,special,-1,1400,3613,1393,3613,,south lake skies-->misty heights
xe887c1,x088515,special,-1,1487,3613,1400,3613,,shoulderskies-->south lake skies
xa5e0e0,x4a1f1f,special,-1,1362,3613,1358,3613,,yellow valley heights-->oldslope skies
xa5e0e0,x81b455,special,-1,1362,3613,1393,3613,,yellow valley heights-->misty heights
x7c4e02,xdc8b7c,special,-1,1372,3613,1377,3613,,skimmersskies-->dead sea skies
x7c4e02,x4b01c5,special,-1,1372,3613,1367,3613,,skimmersskies-->east amethyst heights
x4b01c5,x931b75,special,-1,1367,3613,1382,3613,,east amethyst heights-->west amethyst heights
x2a2ee7,x51a14c,special,-1,1432,3613,1404,3613,,goldenpass skies-->qomerqocha skies
x088515,x51a14c,special,-1,1400,3613,1404,3613,,south lake skies-->qomerqocha skies
x643454,x7fc19f,special,-1,1149,3613,1196,955,,drukyn skies-->bay of lanterns (south)
xe5943e,x7fc19f,special,-1,1135,3613,1196,955,,skies1-->bay of lanterns (south)
xe5943e,xa916aa,special,-1,1135,3613,1128,3613,,skies1-->kyrzur skies
xe5943e,x35e613,special,-1,1135,3613,1120,3613,,skies1-->skies3
x68484D,x35e613,special,-1,1037,3613,1120,3613,,mountain desmesne-->skies3
x922174,x68484D,special,-1,1018,3613,1037,3613,,nilbog skies-->mountain desmesne
x922174,x8b2b55,special,-1,1018,3613,999,3613,,nilbog skies-->north lanternshore skies
x922174,x1e95bc,special,-1,1018,3613,962,3613,,nilbog skies-->hooked winds
x1e95bc,xe85f26,special,-1,962,3613,7951,1755,,hooked winds-->skies4
x2a3e2b,x1e95bc,special,-1,1033,1448,962,3613,,southwestern scaletides-->hooked winds
xa916aa,x35e613,special,-1,1128,3613,1120,3613,,kyrzur skies-->skies3
xa916aa,x846e53,special,-1,1128,3613,1081,3613,,kyrzur skies-->khulanjo skies
xa9180d,x846e53,special,-1,1050,3613,1081,3613,,skies7-->khulanjo skies
xa9180d,xe85f26,special,-1,1050,3613,7951,1755,,skies7-->skies4
xa9180d,xd9a71f,special,-1,1050,3613,468,1101,,skies7-->the water lmao
xcefcd7,xe85f26,special,-1,1163,3613,1405,1214,,shirhuajian skies-->emperor's marbles THIS SEA STATE SOUNDS LIKE A EUPHEMISM
x526B12,xA162CC,special,-1,1154,3613,1170,3613,,oasis skies-->pisqupataa skies
x526B12,x524ba5,special,-1,1154,3613,1170,3613,,oasis skies-->barren skies
x15153C,xA162CC,special,-1,1175,3613,1170,3613,,mikhuyuq winds-->pisqupataa skies
x15153C,xF9917D,special,-1,1175,3613,1180,3613,,mikhuyuq winds-->taytaqocha skies
x1916b0,xF9917D,special,-1,1352,3613,1180,3613,,savage skies-->taytaqocha skies
x1916b0,x13dfb7,special,-1,1352,3613,1348,3613,,savage skies-->maplelake skies
x750581,x13dfb7,special,-1,1332,3613,1348,3613,,kumaska skies-->maplelake skies
x5d51b9,x4e84bd,special,-1,1337,3613,1328,3613,,idk peninsula skies-->verdskies
xc161b7,x4e84bd,special,-1,1323,3613,1328,3613,,krovadoran skies-->verdskies
x89bb15,x4e84bd,special,-1,1312,3613,1328,3613,,montego heights-->verdskies
xc161b7,xef0569,canal_wolkara,-1,1323,3613,1317,3613,,krovadoran skies-->wolkara heights
x750581,xef0569,canal_wolkara,-1,1332,3613,1317,3613,,kumaska skies-->wolkara heights
xb85412,xc280f1,special,-1,1293,3613,1297,3613,,cantremember skies-->istrana skies
xb85412,xec5a49,special,-1,1293,3613,1282,3613,,cantremember skies-->kamuy peaks
x794c2e,x95b4bc,special,-1,1277,3613,5109,208,,paylazi heights-->dragon landing
x81c285,xc09f23,special,-1,3537,1869,1272,3613,,muschelhavn landing-->south sukonskies
x81c285,xefa218,special,-1,3537,1869,1267,3613,,muschelhavn landing-->flussholm skies
xc280f1,xef0569,canal_wolkara,-1,1297,3613,1317,3613,,istrana skies-->wolkara heights
xefa218,xc09f23,special,-1,1267,3613,1272,3613,,flussholm skies-->south sukonskies
xefa218,xabcc82,special,-1,1267,3613,1262,3613,,flussholm skies-->zephyrskies
x3d828e,xabcc82,special,-1,1252,3613,1262,3613,,soliloque heights-->zephyrskies
x3d828e,x8ff9f3,special,-1,1252,3613,1257,3613,,soliloque heights-->the white skies
xefa218,x8ff9f3,special,-1,1267,3613,1257,3613,,flussholm skies-->the white skies
xfb9f3f,x8ff9f3,special,-1,1247,3613,1257,3613,,morassian heights-->the white skies
x9f0a66,x579a11,special,-1,1237,3613,1242,3613,,ican skies-->drowned skies
xfb9f3f,x579a11,special,-1,1247,3613,1242,3613,,morassian heights-->drowned skies
xfb9f3f,x9f0a66,special,-1,1247,3613,1237,3613,,morassian heights-->ican skies
x291364,xabcc82,special,-1,1227,3613,1262,3613,,northern feystalk skies-->zephyrskies
x291364,xef6007,special,-1,1227,3613,1232,3613,,northern feystalk skies-->southern feystalk skies
x9f0a66,xef6007,special,-1,1237,3613,1232,3613,,ican skies-->southern feystalk skies
x3d828e,xef6007,special,-1,1252,3613,1232,3613,,soliloque heights-->southern feystalk skies
x866D94,x9f0a66,special,-1,1217,3613,1237,3613,,castlecourt heights-->ican skies
x866D94,xa3c246,special,-1,1217,3613,4175,1729,,castlecourt heights-->eireks landing
x866D94,x291365,special,-1,1217,3613,1222,3613,,castlecourt heights-->skies of the vow
x017cfe,x291365,special,-1,4296,1738,1222,3613,,lilacshores-->skies of the vow
xB1BF75,x291365,special,-1,1212,3613,1222,3613,,raquartes sky-->skies of the vow
x866D94,xe5e3e1,special,-1,1217,3613,1522,3613,,castlecourt heights-->emberland skies
x59814b,xe5e3e1,special,-1,1527,3613,1522,3613,,cropheart winds-->emberland skies
xB1BF75,xe5e3e1,special,-1,1212,3613,1522,3613,,raquartes sky-->emberland skies
xc05815,xe5e3e1,special,-1,1532,3613,1522,3613,,faerondale heights-->emberland skies
xc05815,x3fd1e1,special,-1,1532,3613,1537,3613,,faerondale heights-->faolna winds
xc05815,x291364,special,-1,1532,3613,1227,3613,,faerondale heights-->northern feystalk skies
xc05815,x3fd1e1,special,-1,1532,3613,1537,3613,,faerondale heights-->faolna winds
x291364,x3fd1e1,special,-1,3945,2128,1537,3613,,faolna pass tp-->faolna winds
x3373ef,x3fd1e1,special,-1,1547,3613,1537,3613,,south starshimmer skies-->faolna winds
xd8061f,x3fd1e1,special,-1,1542,3613,1537,3613,,marblegate heights-->faolna winds
xd8061f,x3373ef,special,-1,1542,3613,1547,3613,,marblegate heights-->south starshimmer skies
x248677,x248677,special,-1,1607,3613,1597,3613,,ashgate heights-->saharando skies
xC951E7,x248677,special,-1,1612,3613,1597,3613,,alvekskies-->saharando skies
xC951E7,x05D1F1,special,-1,1612,3613,1622,3613,,alvekskies-->kaskadvivo heights
x248677,x05D1F1,special,-1,1607,3613,1622,3613,,ashgate heights-->kaskadvivo heights
x5F5DBB,x05D1F1,special,-1,1617,3613,1622,3613,,beanlake-->kaskadvivo heights
x5F5DBB,x03ddad,special,-1,1617,3613,1627,3613,,beanlake-->east opalath heights
x5F5DBB,x2c8b7c,special,-1,1617,3613,1632,3613,,beanlake-->lumantan heights
x2c8b7c,x03ddad,special,-1,1632,3613,1627,3613,,lumantan heights-->east opalath heights /canalme
x59814b,x6f7a6e,special,-1,1527,3613,1657,3613,,cropheart winds-->sharpwood heights
x68d774,x94bf62,special,-1,4875,2203,1677,3613,,moornshore-->whiskerflight
xb85412,x2c8b7c,canal_lumanta,-1,1293,3613,1632,3613,,cantremember skies-->lumantan heights
xd3a577,xA6DC20,special,-1,6123,3025,1159,3613,,frostbite bay-->north yangerskies
xc17f2e,x9BA04A,special,-1,1837,3613,5140,1868,,cragskies-->virulent landing
xc17f2e,x7c086f,special,-1,1837,3613,1712,3613,,cragskies-->nogi skies
xc17f2e,x55bf71,special,-1,1837,3613,1842,3613,,cragskies-->skies of ceraun
x5CFFC2,x55bf71,special,-1,5118,2194,1842,3613,,valenshores-->skies of ceraun
x3182c6,xa3aa59,special,-1,1966,2011,1480,3613,,gnurkenshores-->ravenwatch skies
xD74D79,xa916aa,special,-1,773,896,1128,3613,,buyant landing-->kyrzur skies
x5274cf,xe85f26,special,-1,810,1457,7951,1755,,the north horizon-->skies4
x1e95bc,x5274cf,special,-1,962,3613,810,1457,,hooked winds-->the north horizon
x1916b0,x7f0656,special,-1,1352,3613,3105,2017,,savage skies-->salty shores
x7f0656,x13dfb7,special,-1,3105,2017,1348,3613,,salty shores-->maplelake skies
xd98b96,xa6dc20,special,-1,-1,-1,-1,-1,,lightscourge --> north yanger skies
xc4c36e,xfa2f60,special,-1,-1,-1,-1,-1,, north starshimmer --> rainbowfish landing 
xfdf01d,xce87fb,special,-1,-1,-1,-1,-1,, shapeshifter skies--> vyndervoht
x53D21B,x3373ef,special,-1,-1,-1,-1,-1,, east starshimmer --> south starshimmer
xd8061f,x53d21b,special,-1,1542,3613,1567,3613,,marblegate heights-->east starshimmer skies
x89bb15,x051a24,special,-1,1312,3613,3226,2772,,montego heights-->steepcliff coast
xd8061f,x3fd1e1,special,-1,1542,3613,1537,3613,,marblegate heights-->faolna winds
x3373ef,x3fd1e1,special,-1,1547,3613,1537,3613,,south starshimmer skies-->faolna winds
xc05815,x291364,special,-1,1532,3613,1227,3613,,faerondale heights-->northern feystalk skies
xd8061f,x3373ef,special,-1,1542,3613,1547,3613,,marblegate heights-->south starshimmer skies
x1cc382,xff1587,special,-1,1552,3613,1557,3613,,south anwarth skies-->west anwarth skies
xff1587,x3373ef,special,-1,1557,3613,1547,3613,,west anwarth skies-->south starshimmer skies
xb2f287,xff1587,special,-1,1562,3613,1557,3613,,west starshimmer skies-->west anwarth skies
x7d9d6b,x4DC8AC,special,-1,1582,3613,1587,3613,,sullenskies-->KAsida heights
xe489fe,x8376d6,special,-1,4010,2925,1592,3613,,vivari shores-->kajrando skies
x7d9d6b,x9b2375,special,-1,1582,3613,1602,3613,,sullenskies-->wastewall heights
x5F5DBB,x05D1F1,special,-1,1617,3613,1622,3613,,beanlake-->kaskadvivo heights
xc753d5,x05D1F1,special,-1,3486,2799,1622,3613,,rugakampo landing-->kaskadvivo heights
x5F5DBB,x03ddad,special,-1,1617,3613,1627,3613,,beanlake-->east opalath heights
x5F5DBB,x2c8b7c,special,-1,1617,3613,1632,3613,,beanlake-->lumantan heights
xFDF01D,xbd2257,special,-1,1642,3613,1647,3613,,shapeshifter skies-->lonely skies
x866D94,xe5e3e1,special,-1,1217,3613,1522,3613,,castlecourt heights-->emberland skies
x59814b,xe5e3e1,special,-1,1527,3613,1522,3613,,cropheart winds-->emberland skies
xB1BF75,xe5e3e1,special,-1,1212,3613,1522,3613,,raquartes sky-->emberland skies
x59814b,x1d96da,special,-1,1527,3613,1207,3613,,cropheart winds-->lakeskies_1
x9feb22,x6f7a6e,special,-1,1652,3613,1657,3613,,plantation heights-->sharpwood heights
x9feb22,x28b29f,special,-1,1652,3613,4496,2318,,plantation heights-->settlers landing
x9feb22,xbd2257,special,-1,1652,3613,1647,3613,,plantation heights-->lonely skies
x9feb22,xFDF01D,special,-1,1652,3613,1642,3613,,plantation heights-->shapeshifter skies
x28b29f,x6f7a6e,special,-1,4496,2318,1657,3613,,settlers landing-->sharpwood heights
x59814b,x6f7a6e,special,-1,1527,3613,1657,3613,,cropheart winds-->sharpwood heights
x1d96da,x6f7a6e,special,-1,1207,3613,1657,3613,,lakeskies_1-->sharpwood heights
xEB8516,x6f7a6e,special,-1,1667,3613,1657,3613,,yelfis winds-->sharpwood heights
xEB8516,x94bf62,special,-1,1667,3613,1677,3613,,yelfis winds-->whiskerflight
x68d774,x94bf62,special,-1,4875,2203,1677,3613,,moornshore-->whiskerflight
xEB8516,x1ecfd0,special,-1,1667,3613,1202,3613,,yelfis winds-->lakeskies_2
xb85412,x2c8b7c,canal_lumanta,-1,1293,3613,1632,3613,,cantremember skies-->lumantan heights
xEB8516,xFDC231,special,-1,1667,3613,1687,3613,,yelfis winds-->STATE_ASHOVER_WINDS
x38f60c,xFDC231,special,-1,1692,3613,1687,3613,,south plaguewood skies-->STATE_ASHOVER_WINDS
x1ecfd0,xFDC231,special,-1,1202,3613,1687,3613,,lakeskies_2-->STATE_ASHOVER_WINDS
x9dd98b,xFDC231,special,-1,1192,3613,1687,3613,,hazelflight-->STATE_ASHOVER_WINDS
xc280f1,xef0569,canal_wolkara,-1,1297,3613,1317,3613,,istrana skies-->wolkara heights
xefa218,xc09f23,special,-1,1267,3613,1272,3613,,flussholm skies-->south sukonskies
xefa218,xabcc82,special,-1,1267,3613,1262,3613,,flussholm skies-->zephyrskies
x3d828e,x8ff9f3,special,-1,1252,3613,1257,3613,,soliloque heights-->the white skies
xefa218,x8ff9f3,special,-1,1267,3613,1257,3613,,flussholm skies-->the white skies
xfb9f3f,x8ff9f3,special,-1,1247,3613,1257,3613,,morassian heights-->the white skies
x9f0a66,x579a11,special,-1,1237,3613,1242,3613,,ican skies-->drowned skies
xfb9f3f,x579a11,special,-1,1247,3613,1242,3613,,morassian heights-->drowned skies
x1ecfd0,x9dd98b,special,-1,1202,3613,1192,3613,,lakeskies_2-->hazelflight
x291364,xabcc82,special,-1,1227,3613,1262,3613,,northern feystalk skies-->zephyrskies
xB1BF75,x291365,special,-1,1212,3613,1222,3613,,raquartes sky-->skies of the vow
xB1BF75,x1d96da,special,-1,1212,3613,1207,3613,,raquartes sky-->lakeskies_1
x866D94,x291365,special,-1,1217,3613,1222,3613,,castlecourt heights-->skies of the vow
x866D94,xef6007,special,-1,1217,3613,1232,3613,,castlecourt heights-->southern feystalk skies
x38f60c,x5810AD,special,-1,1692,3613,1517,3613,,south plaguewood skies-->equine skies
x38f60c,xA0F598,special,-1,1692,3613,1707,3613,,south plaguewood skies-->east plaguewinds
x33d286,xA0F598,special,-1,1702,3613,1707,3613,,north plaguewinds-->east plaguewinds
x33d286,xFDC231,special,-1,1702,3613,1687,3613,,north plaguewinds-->ashover winds
x33d286,x94bf62,special,-1,1702,3613,1677,3613,,north plaguewinds-->whiskerflight
x38f60c,x7c086f,special,-1,1692,3613,1712,3613,,south plaguewinds-->nogi skies
x0b2159,x7c086f,special,-1,4858,1687,1712,3613,,yavira landing-->nogi skies
x2f8624,x7c086f,special,-1,1722,3613,1712,3613,,vozmead heights-->nogi skies
x2f8624,x367ab1,special,-1,1722,3613,5295,1674,,vozmead heights-->vozmead landing
x0b2159,x38f60c,special,-1,4858,1687,1692,3613,,yavira landing-->south plaguewinds
xe7360d,x95b4bc,special,-1,1742,3613,5109,208,,senekskies-->dragon landing
xa262df,x900c5a,special,-1,1807,3613,1802,3613,,crownpeak heights-->upland heights
xa262df,xde7e63,special,-1,1807,3613,5764,2583,,crownpeak heights-->merchants landing
x18963f,x82c240,special,-1,5990,528,1762,3613,,slithershores-->sadhana heights
xde7e63,x900c5a,special,-1,5764,2583,1802,3613,,merchants landing-->upland heights
xd6ecd9,xc47498,special,-1,2514,1281,1464,3613,,thassarcian shores-->tsiidiiyah heights
x14d97a,xcd6f04,special,-1,6128,2500,1812,3613,,gulfshores-->dovesflight
x03dad2,xcd6f04,special,-1,1817,3613,1812,3613,,ravenflight-->dovesflight
x379fc5,xcd6f04,special,-1,6276,2723,1812,3613,,dovetail landing-->dovesflight
x14d97a,x03dad2,special,-1,6128,2500,1817,3613,,gulfshores-->ravenflight
x387ccb,xcd6f04,special,-1,1822,2613,1812,3613,,east yangerskies-->dovesflight
x379fc5,x387ccb,special,-1,6276,2723,1822,2613,,dovetail landing-->east yangerskies
xd23584,x387ccb,special,-1,1827,3613,1822,2613,,west yangerskies-->east yangerskies
xd3a577,x387ccb,special,-1,6123,3025,1822,2613,,frostbite bay-->east yangerskies
xd23584,xA6DC20,special,-1,1827,3613,1159,3613,,west yangerskies-->north yangerskies
x387ccb,xA6DC20,special,-1,1822,2613,1159,3613,,east yangerskies-->north yangerskies
xd3a577,xA6DC20,special,-1,6123,3025,1159,3613,,frostbite bay-->north yangerskies
x2e15d6,xbd7d2b,special,-1,2064,2972,2006,3052,,skies of rime-->unnamed_bay_1
x2ee350,xb992cc,special,-1,1287,3613,1282,3613,,chronicle heights-->kamuy peaks
x2ee350,xc09f23,special,-1,1287,3613,1282,3613,,chronicle heights-->jungelheights
xFDB84F,xa262df,special,-1,-1,-1,-1,-1,,
xEAF63A,x900C5A,special,-1,-1,-1,-1,-1,,
xFEC74B,xD23584,special,-1,-1,-1,-1,-1,,
xFE9D62,x387CCB,special,-1,-1,-1,-1,-1,,
xF7B05E,x387CCB,special,-1,-1,-1,-1,-1,,
xFECE83,xD23584,special,-1,-1,-1,-1,-1,,
xF9D938,xA6DC20,special,-1,-1,-1,-1,-1,,
xFD5EBF,xCD6F04,special,-1,-1,-1,-1,-1,,
xFA45BA,xCD6F04,special,-1,-1,-1,-1,-1,,
xF9C7FC,xa262df,special,-1,-1,-1,-1,-1,,
xFBFA52,xA6DC20,special,-1,-1,-1,-1,-1,,
xF9D527,xA6DC20,special,-1,-1,-1,-1,-1,,
xFEF4C2,x55bf71,special,-1,-1,-1,-1,-1,,
xFCD52B,xA0F598,special,-1,-1,-1,-1,-1,,
xF4F234,x33D286,special,-1,-1,-1,-1,-1,,
xFDEAF9,xc17f2e,special,-1,-1,-1,-1,-1,,
xFEFE7A,xA0F598,special,-1,-1,-1,-1,-1,,
xF97B82,x33D286,special,-1,-1,-1,-1,-1,,
